episode,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,allocated_count,failure_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,best_eval_objective
13,0.6,0.6046720780193212,0.5975975832032144,0.6046720780193212,231.3438466230915,1.7199952258304716,0.28000477416952835,1.0,0.0,165,0,6,165,165,1.0442198514938354,0.9369146928798039,,,,,-1e+18
14,1.5,1.5594521795498593,1.5594521795498593,1.4551638208842859,47.42175504365085,0.3236149185668632,0.18384776800030106,0.6268656716417911,0.373134328358209,42,25,6,67,42,0.8182203769683838,0.9322301194154049,,,,,-1e+18
15,1.5,1.5546605421980775,1.5546605421980775,1.510513248975963,50.71957441856128,0.04387549370332389,0.2771121606176638,0.5802469135802469,0.41975308641975306,47,34,6,81,47,0.4791346788406372,0.9275689688183278,,,,,-1e+18
16,1.0,1.0193821152711935,1.0193821152711935,0.9693326339875528,101.65727294312056,1.8150671374345237,0.07682475445736828,0.972972972972973,0.02702702702702703,72,2,4,74,72,0.7409201860427856,0.9229311239742362,,,,,-1e+18
17,1.2,1.2214413304821412,1.1930652266392021,1.2214413304821412,114.45732863836706,1.0864386005471678,0.10654385559318327,0.7982456140350878,0.20175438596491227,91,23,5,114,91,0.6649798154830933,0.918316468354365,,,,,-1e+18
18,0.8,0.8388089997373722,0.8388089997373722,0.8028467314901262,182.99666196049094,1.6856909027598357,0.31430909724016437,1.0,0.0,133,0,4,133,133,0.0739932656288147,0.9137248860125932,,,,,-1e+18
19,1.2,1.2138946948984004,1.2138946948984004,1.1906327436640811,80.68589584239443,0.9246703570052743,0.246061350311799,0.7926829268292683,0.2073170731707317,65,17,8,82,65,0.1754845827817917,0.9091562615825302,,,,,-1e+18
20,0.8,0.8175851379206439,0.8175851379206439,0.7516793946577445,203.94111739883448,1.7675803509602228,0.23241964903977713,1.0,0.0,147,0,4,147,147,0.17220541834831238,0.9046104802746175,,,,,-1e+18
21,1.0,0.9959704960833601,0.9959704960833601,0.9268717334549336,159.37734694680395,1.5205599412429802,0.2554400587570196,0.944,0.056,118,7,4,125,118,0.7794164419174194,0.9000874278732445,,,,,-1e+18
22,1.5,1.5169527093139363,1.5169527093139363,1.5111699755763517,115.12502307133671,0.2576842497072134,0.10186631209053935,0.5898876404494382,0.4101123595505618,105,73,5,178,105,0.505889356136322,0.8955869907338783,,,,,-1e+18
23,0.8,0.8069716958347133,0.8069716958347133,0.7949442507917509,190.47767870149843,1.7797772589753562,0.22022274102464373,1.0,0.0,138,0,7,138,138,0.5149816274642944,0.8911090557802088,,,,,-1e+18
24,0.8,0.801191037095205,0.7929786026594478,0.801191037095205,131.24787090254367,1.609159203680504,0.390840796319496,1.0,0.0,94,0,5,94,94,0.2661502957344055,0.8866535105013078,,,,,-1e+18
25,0.8,0.8351092265240004,0.8351092265240004,0.7668313790284299,82.41581453087892,1.7670231534464642,0.2329768465535357,1.0,0.0,57,0,4,57,57,0.06506406515836716,0.8822202429488013,,,,,-1e+18
26,0.6,0.5990614454541319,0.5960497315924574,0.5990614454541319,261.11779792586685,1.6196000771092116,0.3803999228907885,1.0,0.0,191,0,6,191,191,0.13630984723567963,0.8778091417340573,,,,,-1e+18
27,0.6,0.6232696696729807,0.6232696696729807,0.5685123809038884,211.37778613160714,1.7347858151120406,0.26521418488795934,1.0,0.0,151,0,4,151,151,0.09452725946903229,0.8734200960253871,,,,,-1e+18
28,0.8,0.7899703438573977,0.7899703438573977,0.7610411361017198,162.76884653879918,1.6880753868514708,0.3119246131485291,1.0,0.0,116,0,4,116,116,0.3664768636226654,0.8690529955452602,,,,,-1e+18
