episode,reward,balance_score,loss,epsilon,steps,allocated_count,success_rate,train_batch_id,eval_balance_score,eval_success_rate,best_eval_score,best_eval_success,best_episode
44,49.78720721218307,0.17579847220532455,0.1440102756023407,0.8020760579717637,63,63,0.7875,43,,,,,
45,48.62546003066243,0.15851195223873715,0.22468769550323486,0.798065677681905,62,62,0.775,44,,,,,
46,51.163070581437786,0.14125544258494768,0.20363178849220276,0.7940753492934954,61,61,0.7625,45,,,,,
47,48.21416022551344,0.16773279381529244,0.07467198371887207,0.7901049725470279,65,65,0.8125,46,,,,,
48,48.900332031445444,0.2042260848040383,0.08531951904296875,0.7861544476842928,64,64,0.8,47,,,,,
49,50.31728160210477,0.11162856937182346,0.024843912571668625,0.7822236754458713,63,63,0.7875,48,,,,,
50,42.86426132393183,0.12231491119238079,0.01578449085354805,0.778312557068642,61,61,0.7625,49,,,,,
51,47.92603629926636,0.14986973510352247,0.010697731748223305,0.7744209942832988,63,63,0.7875,50,,,,,
52,49.539367740563094,0.15090870584562044,0.03720834106206894,0.7705488893118823,64,64,0.8,51,,,,,
53,44.08386269157185,0.13213984069916235,0.051324039697647095,0.7666961448653229,58,58,0.725,52,,,,,
54,42.25320151651504,0.10879309490955758,0.09177547693252563,0.7628626641409962,57,57,0.7125,53,,,,,
55,57.51484210056295,0.09270248108869578,0.0678596943616867,0.7590483508202912,66,66,0.825,54,,,,,
56,51.94415260891347,0.09184242972510805,0.056948356330394745,0.7552531090661897,63,63,0.7875,55,,,,,
57,48.40721197232266,0.1457737973711325,0.05580253526568413,0.7514768435208588,64,64,0.8,56,,,,,
58,50.16818820587815,0.1030776406404415,0.01721823960542679,0.7477194593032545,63,63,0.7875,57,,,,,
59,53.530892275270936,0.1386317063301177,0.013833442702889442,0.7439808620067382,64,64,0.8,58,,,,,
60,43.74565041648806,0.0885190843895118,0.005079555790871382,0.7402609576967045,61,61,0.7625,59,,,,,
