episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
36,train-load-0.5-scenario-601-retry-9,0.5,0.6,0.48,0.6,21.85269566199283,1.784836178435456,0.21516382156454394,1.0,0.0,1.0,0.0,12,0,12,0,12,5,12,12,0.7815358638763428,0.8348931673187264,,,,,,,,,,,-1e+18,-1e+18
37,train-load-0.9-scenario-612-retry-2,0.9,0.83985925,0.768653125,0.83985925,17.42404175032414,0.7804535085882265,0.4695464914117735,0.8125,0.1875,0.8235294117647058,0.17647058823529413,13,3,14,3,17,8,16,13,0.9876406788825989,0.8307187014821328,,,,,,,,,,,-1e+18,-1e+18
38,train-load-0.7-scenario-567-retry-3,0.7,0.8,0.2222222222222222,0.8,8.148818571597399,0.47682247664446076,0.5231775233555392,0.75,0.25,0.75,0.25,6,2,6,2,8,6,8,6,1.2932041883468628,0.8265651079747222,,,,,,,,,,,-1e+18,-1e+18
39,train-load-0.7-scenario-686-retry-1,0.7,0.8,0.4,0.8,7.903903765460466,0.46366358857489853,0.5363364114251015,0.75,0.25,0.75,0.25,6,2,6,2,8,4,8,6,0.680396318435669,0.8224322824348486,,,,,,,,,,,-1e+18,-1e+18
40,train-load-0.7-scenario-195-retry-4,0.7,0.6,0.125,0.6,21.49622726255805,1.1431470603708311,0.8568529396291689,1.0,0.0,1.0,0.0,15,0,15,0,15,5,15,15,0.7777528166770935,0.8183201210226743,,,,,,,,,,,-1e+18,-1e+18
41,train-load-0.9-scenario-46-retry-7,0.9,1.0,0.08333333333333333,1.0,3.8252575738843895,-0.3724982701511004,0.7724982701511003,0.6,0.4,0.6,0.4,6,4,6,4,10,6,10,6,1.1566883325576782,0.8142285204175609,,,,,,,,,,,-1e+18,-1e+18
42,train-load-0.8-scenario-95,0.8,0.9,0.5333333333333333,0.9,1.3507988932396153,-0.6862722314213253,0.6862722314213253,0.5,0.5,0.5555555555555556,0.4444444444444444,4,4,5,4,9,6,8,4,1.1678608655929565,0.810157377815473,,,,,,,,,,,-1e+18,-1e+18
43,train-load-0.6-scenario-441,0.6,0.5296565714285714,0.44106874999999995,0.5296565714285714,9.859541982958014,0.6989818764166953,0.8010181235833047,0.875,0.125,0.8888888888888888,0.1111111111111111,7,1,8,1,9,7,8,7,1.3686809539794922,0.8061065909263957,,,,,,,,,,,-1e+18,-1e+18
44,train-load-1.0-scenario-568,1.0,0.9769955,0.608726736111111,0.9769955,12.7699987281825,0.7610735363477058,0.511653736379567,0.8181818181818182,0.18181818181818182,0.7692307692307693,0.23076923076923078,9,2,10,3,13,6,11,9,0.788625955581665,0.8020760579717637,,,,,,,,,,,-1e+18,-1e+18
45,train-load-1.0-scenario-303-retry-1,1.0,1.0875,0.9375,1.0875,4.863849664954281,-0.12066447909992539,0.3428867013221477,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,5,4,5,4,9,4,9,5,1.4994137287139893,0.798065677681905,,,,,,,,,,,-1e+18,-1e+18
